Chapter,Part of Speech,Lang,English
3,noun (2),"ager, agrī, m.","field, farm"
3,noun (1),"agricola, -ae, m.",farmer
3,noun (1),"amīca, -ae, f.",friend
3,noun (2),"amīcus, -ī, m.",friend
3,noun (1),"fēminā, -ae, f.",woman
3,noun (1),"fīlia, -ae, f.","daughter (dative and ablative plural, filiabus)"
3,noun (2),"fīlius, -iī, m.",son
3,noun (2),"numerus, -ī, m.",number
3,noun (2),"populus, -ī, m.","the people, a people, a nation"
3,noun (2),"puer, puerī, m.","boy; boys, children"
3,noun (1),"sapientia, -ae, f.",wisdom
3,noun (2),"vir, virī, m.","man, hero"
3,adjective,"avārus, -ā, -um","greedy, avaricious"
3,adjective,"paucī, -ae, -ā","few, a few (usually plural)"
3,adjective,"Rōmānus, -ā, -um",Roman
3,preposition,dē,"down from, from; concerning, about (takes ablative)"
3,preposition,in (+ abl.),"in, on (takes ablative)"
3,adverb,hodiē,today
3,adverb,semper,always
3,verb (2),"habeō, habēre, habuī, habitum","to have, hold, possess, consider, regard"
3,verb (1),"satiō, satiāre, satiāvī, satiātum","to satisfy, sate"
4,noun (2),"bāsium, -iī, n.",kiss
4,noun (2),"bellum, -ī, n.",war
4,noun (2),"cōnsilium, -iī, n.","plan, purpose, counsel, advice, judgement, wisdom"
4,noun (1),"cūra, -ae, f.","care, attention, caution, anxiety"
4,noun (2),"dōnum, -ī, n.","gift, present"
4,noun (2),"exitium, -iī, n.","destruction, ruin"
4,noun (2),"magister, magistrī, m.","schoolmaster, teacher, master"
4,noun (1),"magistra, -ae, f.","school mistress, teacher, mistress"
4,noun (1),"mora, -ae, f.",delay
4,noun (indeclinable),"nihil, n.",nothing
4,noun (2),"oculus, -ī, m.",eye
4,noun (2),"officium, -iī, n.","duty, service"
4,noun (2),"ōtium, -iī, n.","leisure, peace"
4,noun (2),"perīculum, -ī, n.","danger, risk"
4,noun (2),"remedium, -iī, n.","cure, remedy"
4,adjective,"bellus, -ā, -um","pretty, handsome, charming"
4,adjective,"bonus, -ā, -um","good, kind"
4,adjective,"hūmānus, -ā, -um","pertaining to man, human, humane, kind, refined, cultivated"
4,adjective,"malus, -ā, -um","bad, wicked, evil"
4,adjective,"parvus, -ā, -um","small, little"
4,adjective,"stultus, -ā, -um",foolish
4,noun (2),"stultus, -ī, m.",a fool
4,adjective,"vērus, -ā, -um","true, real, proper"
4,verb (1),"iuvō, iuvāre, iūvī, iūtum","to help, aid, assist; to please"
4,verb (irregular),"sum, esse, fuī, futūrum","to be, exist"
5,noun (1),"adulēscentiā, -ae, f.","youth, young manhood, youthfulness"
5,noun (2),"animus, -ī, m.","soul, spirit, mind; (plural) high spirits, pride, courage"
5,noun (2),"caelum, -ī, n.","sky, heaven"
5,noun (1),"culpa, -ae, f.","fault, blame"
5,noun (1),"glōria, -ae, f.","glory, fame"
5,noun (2),"verbum, -ī, n.",word
5,pronoun,tē,"you, yourself"
5,adjective,"liber, līberā, līberum",free
5,adjective,"noster, nostra, nostrum","our, ours"
5,adjective,"pulcher, pulchra, pulchrum","beautiful, handsome; fine"
5,adjective,"sānus, -ā, -um","sound, healthy, sane"
5,conjunction,igitur,"therefore, consequently (postpositive)"
5,enclitic,-nē,question (introduces questions the answer to which is uncertain)
5,preposition,propter,"on account of, because of (takes accusative)"
5,adverb,crās,tomorrow
5,adverb,heri,yesterday
5,"adverb, conjunction",quandō,when (si quando: if ever)
5,"adverb, noun (indeclinable)","satis, n.","enough, sufficient (-ly)"
5,adverb,tum,"then, at that time; thereupon, in the next place"
5,verb (1),"cēnō, cēnāre, cēnāvī, cēnātum",to dine
5,verb (1),"culpō, culpāre, culpāvī, culpātum","to blame, censure"
5,verb (2),"remaneō, remanēre, remānsī, remansum","to remain, stay behind, abide, continue"
5,verb (2),"maneō, manēre, mānsī, mānsum","to remain, stay, abide, continue"
5,verb (1),"superō, superāre, superāvī, superātum","to be above, have the upper hand, surpass; overcome, conquer"
6,noun (1),"dea, -ae, f.",goddess
6,noun (2),"deus, -ī, m.",god
6,noun (1),"discipula, -ae, f.","learner, pupil, student"
6,noun (2),"discipulus, -ī, m.","learner, pupil, student"
6,noun (1),"īnsidiae, -arum, f.","ambush, plot, treachery (always plural)"
6,noun (2),"liber, librī, m.",book
6,noun (2),"tyrannus, -ī, m.","absolute ruler, tyrant"
6,noun (2),"vitium, -iī, n.","fault, crime, vice"
6,adjective,"Graecus, -ā, -um",Greek
6,noun (2),"Graecus, -ī, m.",a Greek
6,adjective,"perpetuus, -ā, -um","perpetual, lasting, uninterrupted, continuous"
6,adjective,"plēnus, -ā, -um","full, abundant, generous"
6,adjective,"salvus, -ā, -um","safe, sound"
6,adjective,"secundus, -ā, -um",second; favorable
6,adjective,"vester, vestra, vestrum","your, yours (plural)"
6,"conjunction, enclitic",-que,and (enclitic) (appended to the second of two words to be joined)
6,conjunction,sed,but
6,"adverb, conjunction",ubi,"where, when"
6,adverb,ibi,there
6,adverb,nunc,"now, today, at present"
6,adverb,quārē,"because of which thing, therefore, wherefore, why"
6,verb (irregular),"possum, posse, potuī, -","to be able, can, could, have power"
6,verb (1),"tolerō, tolerāre, tolerāvī, tolerātum","to bear, endure"
7,noun (3),"amor, amōris, m.",love
7,noun (3),"carmen, carminis, n.","song, poem"
7,noun (3),"cīvitās, cīvitātis, f.","state, citizenship"
7,noun (3),"corpus, corporis, n.",body
7,noun (3),"homō, hominis, m.","human being, man"
7,noun (3),"labor, labōris, m.","labor, work, toil; a work, production"
7,noun (1),"littera, -ae, f.","a letter of the alphabet; (plural) a letter, literature"
7,noun (3),"mōs, mōris, m.","habit, custom, manner; (plural) habits, character"
7,noun (3),"nōmen, nōminis, n.",name
7,noun (3),"pāx, pācis, f.",peace
7,noun (1),"rēgīna, -ae, f.",queen
7,noun (3),"rēx, rēgis, m.",king
7,noun (3),"tempus, temporis, n.","time; occasion, opportunity"
7,noun (1),"terra, -ae, f.","earth, ground, land, country"
7,noun (3),"uxor, uxōris, f.",wife
7,noun (3),"virgō, virginis, f.","maiden, virgin"
7,noun (3),"virtūs, virtūtis, f.","manliness, courage, excellence, character, worth, virtue"
7,adjective,"novus, -ā, -um",new; strange
7,preposition,post,"after, behind (takes accusative)"
7,preposition,sub,"under, up under, close to (takes ablative with verbs of rest, takes accusative with verbs of motion)"
7,verb (2),"audeō, audēre, ausus sum, -",to dare
7,verb (1),"necō, necāre, necāvī, necātum","to murder, kill"
8,noun (3),"Cicerō, Cicerōnis, m.",Cicero
8,noun (1),"cōpia, -ae, f.","abundance, supply; (plural) supplies, troops, forces"
8,noun (3),"frāter, frātris, m.",brother
8,noun (3),"laus, laudis, f.","praise, glory, fame"
8,noun (3),"lībertās, lībertātis, f.",liberty
8,noun (3),"ratiō, ratiōnis, f.","reckoning, account; reason, judgement, consideration; system; manner, method"
8,noun (3),"scrīptor, scrīptōris, m.","writer, author"
8,noun (3),"soror, sorōris, f.",sister
8,noun (1),"victōria, -ae, f.",victory
8,conjunction,dum,while
8,preposition,ad,"to, up to, near to (takes accusative)"
8,preposition,"ex, ē","out of, from, from within; by reason of, on account of (takes ablative)"
8,adverb,numquam,never
8,adverb,tamen,"nevertheless, still"
8,verb (3),"agō, agere, ēgī, āctum","to drive, lead, do, act; pass, spend (gratias agere: to give thanks)"
8,verb (1),"dēmōnstrō, dēmōnstrāre, dēmōnstrāvī, dēmōnstrātum","to point out, show, demonstrate"
8,verb (3),"discō, discere, didicī, -",to learn
8,verb (2),"doceō, docēre, docuī, doctum",to teach
8,verb (3),"dūcō, dūcere, dūxī, ductum","to lead; consider, regard; prolong"
8,verb (3),"gerō, gerere, gessī, gestum","to carry, carry on, manage, conduct, accomplish, perform"
8,verb (3),"scrībō, scrībere, scrīpsī, scrīptum","to write, compose"
8,verb (3),"trahō, trahere, trāxī, tractum","to draw, drag, derive"
8,verb (3),"vincō, vincere, vīcī, vīctum","to conquer, overcome"
9,noun (2),"locus, -ī, m.","place; passage in literature (loca, -orum, n.: places, regions)"
9,noun (2),"morbus, -ī, m.","disease, sickness"
9,noun (2),"studium, -iī, n.","eagerness, zeal, pursuit, study"
9,pronoun,"hic, haec, hoc","this; the latter; he, she, it, they"
9,pronoun,"ille, illa, illud","that; the former; the famous; he, she, it, they"
9,pronoun,"iste, ista, istud","that of yours, that; such (sometimes with contemptuous force)"
9,adjective,"alīus, alia, aliud","other, another (alii...alii: some...others)"
9,adjective,"alter, altera, alterum","the other (of two), second"
9,adjective,"neuter, neutra, neutrum","not either, neither"
9,adjective,"nūllus, -ā, -um","not any, no, none"
9,adjective,"sōlus, -ā, -um","alone, only, the only"
9,adjective,"tōtus, -ā, -um","whole, entire"
9,adjective,"ūllus, -ā, -um",any
9,adjective,"ūnus, -ā, -um","one, single, alone"
9,adjective,"uter, utra, utrum","either, which (of two)"
9,conjunction,enim,"for, in fact, truly (postpositive)"
9,preposition,in (+ acc.),"into, toward; against (takes accusative or ablative)"
9,adverb,"nimis, nimium","too, too much, excessively"
10,noun (1),"amīcitia, -ae, f.",friendship
10,noun (3),"cupiditās, cupiditātis, f.","desire, longing, passion, cupidity, avarice"
10,noun (1),"hōrā, -ae, f.","hour, time"
10,noun (1),"nātūra, -ae, f.",nature
10,noun (3),"senectūs, senectūtīs, f.",old age
10,noun (3),"timor, timōris, m.",fear
10,noun (3),"vēritās, vēritātis, f.",truth
10,noun (1),"via, -ae, f.","way, road, street"
10,noun (3),"voluptās, voluptātis, f.",pleasure
10,adjective,"beātus, -ā, -um","happy, fortunate, blessed"
10,conjunction,quoniam,"since, inasmuch as"
10,preposition,cum,with (takes ablative)
10,verb (4),"audiō, audīre, audīvī, audītum","to hear, listen to"
10,verb (3i),"capiō, capere, cēpī, captum","to take, capture, seize, get"
10,verb (3),"dīcō, dīcere, dīxī, dictum","to say, tell, speak; name, call"
10,verb (3i),"faciō, facere, fēcī, factum","to make, do, accomplish"
10,verb (3i),"fugiō, fugere, fūgī, fugitūrum","to flee, hurry away; go into exile; avoid, shun"
10,verb (4),"veniō, venīre, vēnī, ventum",to come
10,verb (4),"inveniō, invenīre, invēnī, inventum","to come upon, find"
10,verb (3),"vīvō, vīvere, vīxī, vīctum",to live
11,noun (3),"caput, capitis, n.",head; leader; beginning; life; heading; chapter
11,noun (3),"cōnsul, cōnsulis, m.",consul
11,noun (3),"nēmō, nēminis, m. or f.","no one, nobody"
11,pronoun,"ego, meī",I
11,pronoun,"tū, tuī",you
11,pronoun,"is, ea, id","this, that; he, she, it (demonstrative)"
11,pronoun,"idem, eadem, idem",the same (demonstrative)
11,adjective,"amīcus, -ā, -um",friendly
11,adjective,"cārus, -ā, -um",dear
11,conjunction,quod,because
11,conjunction,"neque, nec","and not, nor (neque...neque (or nec...nec): neither...nor)"
11,conjunction,autem,however; moreover (postpositive)
11,adverb,bene,"well, satisfactorily, quite"
11,adverb,etiam,even
11,verb (3),"intellegō, intellegere, intellēxī, intellēctum",to understand
11,verb (3),"mittō, mittere, mīsī, missum","to send, let go"
11,verb (4),"sentiō, sentīre, sēnsī, sēnsum","to feel, perceive, think, experience"
12,noun (3),"adulēscēns, adulēscentīs, m.",young man
12,noun (2),"annus, -ī, m.",year
12,noun (1),"Asiā, -ae, f.",Asia
12,noun (3),"Caesar, Caesaris, m.",Caesar
12,noun (3),"māter, mātris, f.",mother
12,noun (2),"medicus, -ī, m.","doctor, physician"
12,noun (1),"medicā, -ae, f.","doctor, physician"
12,noun (3),"pater, patris, m.",father
12,noun (1),"patientia, -ae, f.","suffering, patience, endurance"
12,noun (2),"prīncipium, -iī, n.",beginning
12,adjective,"acerbus, -ā, -um","harsh, bitter, grievous"
12,preposition,prō,"in front of, before, on behalf of, for the sake of, in return for, instead of, for, as (takes ablative)"
12,adverb,diū,for a long time
12,adverb,nūper,recently
12,verb (3),"āmittō, āmittere, āmīsī, āmissum","to lose, let go"
12,verb (3),"cadō, cadere, cecidī, cāsūrum",to fall ('casum' is an alternative fourth principal part)
12,verb (1),"creō, creāre, creāvī, creātum",to create
13,noun (1),"dīvitiae, -arum, f.","riches, wealth (always plural)"
13,noun (2),"factum, -ī, n.","deed, act, achievement"
13,noun (2),"signum, -ī, n.","sign, signal, indication, seal"
13,pronoun,"ipse, ipsa, ipsum","myself, yourself, himself, herself, itself (etc.); the very, the actual (intensive)"
13,pronoun,"quisque, quidque","each one, each person (indefinite)"
13,pronoun,suī,"himself, herself, itself, themselves (reflexive)"
13,adjective,"doctus, -ā, -um","taught, learned, skilled"
13,adjective,"fortūnātus, -ā, -um","lucky, fortunate, happy"
13,adjective,"suus, -ā, -um","his own, her own, its own, their own (reflexive possessive)"
13,conjunction,nam,for
13,adverb,ante,"before, in front of; previously"
13,preposition,per,through (takes accusative)
13,adverb,ōlim,"at that time, once, formerly; in the future"
13,verb (3),"alō, alere, aluī, altum","to nourish, support, sustain, increase, cherish"
13,verb (3),"dīligō, dīligere, dīlēxī, dīlēctum","to esteem, love"
13,verb (3),"iungō, iungere, iūnxī, iūnctum",to join
13,verb (1),"stō, stāre, stetī, statum","to stand, stand still, stand firm"
14,noun (3i),"animal, animālis, n.","a living creature, animal"
14,noun (1),"aqua, -ae, f.",water
14,noun (3i),"ars, artīs, f.","art, skill"
14,noun (3i),"aurīs, aurīs, f.",ear
14,noun (3i),"cīvīs, cīvīs, m. and f.",citizen
14,noun (3),"iūs, iūris, n.","right, justice"
14,noun (3i),"mare, maris, n.",sea
14,noun (3i),"mors, mortis, f.",death
14,noun (3i),"nūbēs, nūbis, f.",cloud
14,noun (3),"os, ōris, n.","mouth, face"
14,noun (3i),"pars, partīs, f.","part, share"
14,noun (1),"Rōma, -ae, f.",Rome
14,noun (1),"turba, -ae, f.","uproar, disturbance, mob, crowd, multitude"
14,noun (3i),"urbs, urbis, f.",city
14,noun (3i),"vīs, vīs, f.","force, power, violence"
13,preposition,"ab, ā","away from, from; by (takes ablative)"
14,preposition,trāns,across (takes accusative)
14,verb (1),"appellō, appellāre, appellāvī, appellātum","to speak to, address (as), call, name"
14,verb (3),"currō, currere, cucurrī, cursum","to run, rush, move quickly"
14,verb (1),"mūtō, mūtāre, mūtāvī, mūtātum","to change, alter; exchange"
14,verb (2),"teneō, tenēre, tenuī, tentum","to hold, keep, possess; restrain"
14,verb (1),"vītō, vītāre, vītāvī, vītātum","to avoid, shun"
15,noun (1),"Ītalia, -ae, f.",Italy
15,noun (1),"memoriā, -ae, f.","memory, recollection"
15,noun (3),"tempestās, tempestātis, f.","period of time, season; weather, storm"
15,adjective,centum,a hundred
15,adjective,mīlle,thousand; (plural) thousands
15,adjective,"miser, misera, miserum","wretched, miserable, unfortunate"
15,preposition,inter,"between, among (takes accusative)"
15,adverb,itaque,"and so, therefore"
15,verb (3),"committō, committere, commīsī, commissum","to entrust, commit"
15,verb (1),"exspectō, exspectāre, exspectāvī, exspectātum","to look for, expect, await"
15,verb (3i),"iaciō, iacere, iēcī, iactum","to throw, hurl"
15,verb (3i),"ēiciō, ēicere, ēiēcī, ēiectum","to throw out, drive out"
15,verb (2),"timeō, timēre, timuī, -","to fear, be afraid of, be afraid"
15,"adjective, cardinal","ūnus, -ā, -um",one
15,"adjective, cardinal","duo, duae, duo",two (always plural)
15,"adjective, cardinal","trēs, tria",three
15,"adjective, cardinal",quattuor,four
15,"adjective, cardinal",quīnque,five
15,"adjective, cardinal",sex,six
15,"adjective, cardinal",septem,seven
15,"adjective, cardinal",octo,eight
15,"adjective, cardinal",novem,nine
15,"adjective, cardinal",decem,ten
15,"adjective, cardinal",ūndecim,eleven
15,"adjective, cardinal",duodecim,twelve
15,"adjective, cardinal",tredecim,thirteen
15,"adjective, cardinal",quattuordecim,fourteen
15,"adjective, cardinal",quīndecim,fifteen
15,"adjective, cardinal",sēdecim,sixteen
15,"adjective, cardinal",septendecim,seventeen
15,"adjective, cardinal",duodēvīgintī,eighteen (literally two from twenty)
15,"adjective, cardinal",ūndēvīgintī,nineteen (literally one from twenty)
15,"adjective, cardinal",vīgintī,twenty
15,"adjective, cardinal",vīgintī ūnus,twenty-one (also unus et viginti)
15,"adjective, cardinal",vīgintī duo,twenty-two (also duo et viginti)
15,"adjective, cardinal",vīgintī trēs,twenty-three (also tres et viginti)
15,"adjective, cardinal",vīgintī quattuor,twenty-four (also quattuor et viginti)
15,"adjective, cardinal",vīgintī quīnque,twenty-five (also quinque et viginti)
15,"adjective, cardinal",trīgintā,thirty
15,"adjective, cardinal",quadrāgintā,forty
15,"adjective, cardinal",quīnquāgintā,fifty
15,"adjective, cardinal",sexāgintā,sixty
15,"adjective, cardinal",septuāgintā,seventy
15,"adjective, cardinal",octōgintā,eighty
15,"adjective, cardinal",nōnāgintā,ninety
15,"adjective, ordinal","prīmus, -ā, -um",first
15,"adjective, ordinal","secundus, -ā, -um",second
15,"adjective, ordinal","tertius, -ā, -um",third
15,"adjective, ordinal","quārtus, -ā, -um",fourth
15,"adjective, ordinal","quīntus, -ā, -um",fifth
15,"adjective, ordinal","sextus, -ā, -um",sixth
15,"adjective, ordinal","septimus, -ā, -um",seventh
15,"adjective, ordinal","octāvus, -ā, -um",eighth
15,"adjective, ordinal","nōnus, -ā, -um",ninth
15,"adjective, ordinal","decimus, -ā, -um",tenth
15,"adjective, ordinal","ūndecimus, -ā, -um",eleventh
15,"adjective, ordinal","duodecimus, -ā, -um",twelfth
15,"adjective, ordinal","tertius decimus, -ā, -um",thirteenth
15,"adjective, ordinal","quārtus decimus, -ā, -um",fourteenth
15,"adjective, ordinal","quīntus decimus, -ā, -um",fifteenth
15,"adjective, ordinal","sextus decimus, -ā, -um",sixteenth
15,"adjective, ordinal","septimus decimus, -ā, -um",seventeenth
15,"adjective, ordinal","duodēvīcēsimus, -ā, -um",eighteenth (literally two from twenty)
15,"adjective, ordinal","ūndēvīcēsimus, -ā, -um",nineteenth (literally one from twenty)
15,"adjective, ordinal","vīcēsimus, -ā, -um",twentieth
15,"adjective, ordinal","vīcēsimus prīmus, -ā, -um",twenty-first
15,"adjective, ordinal","vīcēsimus secundus, -ā, -um",twenty-second
15,"adjective, ordinal","vīcēsimus tertius, -ā, -um",twenty-third
15,"adjective, ordinal","vīcēsimus quārtus, -ā, -um",twenty-fourth
15,"adjective, ordinal","vīcēsimus quīntus, -ā, -um",twenty-fifth
15,"adjective, ordinal",trīcēsimus,thirtieth
15,"adjective, ordinal",quadrāgēsimus,fortieth
15,"adjective, ordinal",quīnquāgēsimus,fiftieth
15,"adjective, ordinal",sexāgēsimus,sixtieth
15,"adjective, ordinal",septuāgēsimus,seventieth
15,"adjective, ordinal",octōgēsimus,eightieth
15,"adjective, ordinal",nōnāgēsimus,ninetieth
16,noun (3),"aetās, aetātis, f.","period of life, life, age, an age, time"
16,noun (3),"audītor, audītōris, m.","hearer, listener, member of an audience"
16,noun (1),"clēmentia, -ae, f.","mildness, gentleness, mercy"
16,noun (3i),"mēns, mentis, f.","mind, thought, intention"
16,noun (1),"satura, -ae, f.",satire
16,adjective,"ācer, acrīs, ācre","sharp, keen, eager; severe, fierce"
16,adjective,"brevis, breve","short, small, brief"
16,adjective,"celer, celerīs, celere","swift, quick, rapid"
16,adjective,"difficilis, difficile","hard, difficult, troublesome"
16,adjective,"dulcis, dulce","sweet; pleasant, agreeable"
16,adjective,"facilis, facile","easy, agreeable"
16,adjective,"fortis, forte","strong, brave"
16,adjective,ingēns,huge (genitive ingentis)
16,adjective,"iūcundus, -ā, -um","pleasant, delightful, agreeable, pleasing"
16,adjective,"longus, -ā, -um",long
16,adjective,"omnis, omne","every, all"
16,adjective,potēns,"able, powerful, mighty, strong (genitive potentis)"
16,"adjective, noun (3)","senex, senis, m.","old, aged; old man"
16,adverb,quam,how
16,verb (3),"regō, regere, rēxī, rēctum","to rule, guide, direct"
17,noun (2),"libellus, -ī, m.",little book
17,pronoun,"quī, quae, quod","who, which, what, that"
17,adjective,"caecus, -ā, -um",blind
17,adjective,"levis, leve","light, slight, easy, trivial"
17,conjunction,aut,or (aut...aut: either...or)
17,adverb,cito,quickly
17,adverb,quoque,"also, too"
17,verb (3),"admittō, admittere, admīsī, admissum","to admit, receive, let in"
17,verb (irregular),"-, coepisse, coepī, coeptum",began (only used in the perfect system)
17,verb (3i),"cupiō, cupere, cupīvī, cupītum","to desire, wish, long for"
17,verb (2),"dēleō, dēlēre, dēlēvī, dēlētum","to destroy, wipe out, erase"
17,verb (1),"dēsīderō, dēsīderāre, dēsīderāvī, dēsīderātum","to desire, long for, miss"
17,verb (3i),"incipiō, incipere, incēpī, inceptum",to begin
17,verb (1),"nāvigō, nāvigāre, nāvigāvī, nāvigātum","to sail, navigate"
17,verb (3),"neglegō, neglegere, neglēxī, neglēctum","to neglect, disregard"
17,verb (1),"recitō, recitāre, recitāvī, recitātum","to read aloud, recite"
18,noun (3),"flūmen, flūminis, n.",river
18,noun (3),"genus, generis, n.","origin, kind, sort, class"
18,noun (3i),"hostis, hostis, m.",an enemy; (plural) the enemy
18,noun (2),"lūdus, -ī, m.","game, sport; school"
18,noun (3),"probitās, probitātis, f.","uprightness, honesty"
18,noun (1),"scientiā, -ae, f.",knowledge
18,adjective,"clārus, -ā, -um","clear, bright; renowned, famous, illustrious"
18,adjective,"mortālīs, mortāle",mortal
18,adverb,cūr,why
18,adverb,deinde,"thereupon, next, then"
18,verb (3),"fluō, fluere, flūxī, flūxum",to flow
18,verb (3),"lēgō, legere, lēgī, lectum","to pick out, choose; read"
18,verb (2),"misceō, miscēre, miscuī, mixtum","to mix, stir up, disturb"
18,verb (2),"moveō, movēre, mōvī, mōtum","to move; arouse, affect"
18,verb (2),"videor, vidērī, vīsus sum, -","to be seen, seem, appear"
19,noun (2),"argūmentum, -ī, n.","proof, evidence, argument"
19,noun (3),"auctor, auctōris, m.","increaser, author, originator"
19,noun (2),"beneficium, -iī, n.","benefit, kindness; favor"
19,noun (1),"familia, -ae, f.","household, family"
19,noun (1),"Graeciā, -ae, f.",Greece
19,noun (3),"iūdex, iūdicis, m.","judge, juror"
19,noun (2),"iūdicium, -iī, n.","judgement, decision, opinion; trial"
19,noun (3),"scelus, sceleris, n.","evil deed, crime, sin, wickedness"
19,pronoun,"quis?, quid?","who?, whose?, whom?, what?, which?"
19,adjective,"quī?, quae?, quod?","what?, which?, what kind of?"
19,adjective,"certus, -ā, -um","definite, sure, certain, reliable"
19,adjective,"gravīs, grave","heavy, weighty, serious, important, severe, grievous"
19,adjective,"immortālīs, immortāle","not subject to death, immortal"
19,conjunction,at,"but; but, mind you; but, you say"
19,conjunction,nisi,"if...not, unless; except"
19,preposition,contrā,against (takes accusative)
19,adverb,iam,"now; already, soon"
19,verb (1),"dēlectō, dēlectāre, dēlectāvī, dēlectātum","to delight, charm, please"
19,verb (1),"līberō, līberāre, līberāvī, līberātum","to free, liberate"
19,verb (1),"parō, parāre, parāvī, parātum","to prepare, provide, get, obtain"
20,noun (2),"coniūrātī, -ōrum, m.",conspirators (always plural)
20,noun (4),"cornū, -us, n.",horn
20,noun (4),"frūctus, -us, m.","fruit, profit, benefit, enjoyment"
20,noun (4),"genū, -us, n.",knee
20,noun (4),"manus, -us, f.","hand, band; handwriting"
20,noun (4),"metus, -us, m.","fear, dread, anxiety"
20,noun (3i),"mōns, montīs, m.",mountain
20,noun (4),"senātus, -us, m.",senate
20,noun (4),"sēnsus, -us, m.","feeling, sense"
20,noun (3),"servitūs, servitūtīs, f.","servitude, slavery"
20,noun (4),"spīritus, -us, m.","breath, breathing; spirit, soul"
20,noun (4),"versus, -us, m.",line of verse
20,adjective,"commūnis, commūne","common, general, of the community, for the community"
20,adjective,"dexter, dextrā, dextrum","right, right-hand"
20,adjective,"sinister, sinistrā, sinistrum","left, left-hand"
20,verb (2),"careō, carēre, caruī, caritūrus","to be without, be deprived of, want, lack; be free from (takes ablative of separation)"
20,verb (3),"dēfendō, dēfendere, dēfendī, dēfēnsum","to ward off; defend, protect"
20,verb (3),"discēdō, discēdere, discessī, discessum","to go away, depart"
20,verb (irregular),"-, ōdisse, ōdī, ōsūrum",to hate
20,verb (2),"prohibeō, prohibēre, prohibuī, prohibitum","to keep (back), prevent, hinder, restrain, prohibit"
20,verb (1),"prōnūntiō, prōnūntiāre, prōnūntiāvī, prōnūntiātum","to proclaim, announce; declaim; pronounce"
21,noun (1),"casa, -ae, f.","house, cottage, hut"
21,noun (1),"causa, -ae, f.","cause, reason; case, situation; (abl. causa plus a preceding gen.) for the sake of, on account of"
21,noun (1),"fenestra, -ae, f.",window
21,noun (3i),"fīnis, fīnis, m.","end, limit, boundary, purpose; (plural) boundaries, territory"
21,noun (3i),"gēns, gentīs, f.","clan, race, nation, people"
21,noun (2),"mundus, -ī, m.","world, universe"
21,noun (3i),"nāvis, nāvis, f.","ship, boat"
21,noun (3),"salūs, salūtis, f.","health, safety; greeting"
21,noun (1),"Troiā, -ae, f.",Troy
21,noun (2),"vīcīnus, -ī, m.",neighbor
21,noun (1),"vīcīna, -ae, f.",neighbor
21,noun (2),"vulgus, -ī, m.","the common people, mob, rabble"
21,adjective,"asper, aspera, asperum","rough, harsh"
21,conjunction,"atque, ac","and, and also, and even"
21,adverb,iterum,"again, a second time"
